0.029139,0.217367,0.551323,1.264922,2.446030,3.740807,5.403498,8.345927,11.138805,14.394108,19.875411,
0.028951,0.222238,0.524307,1.206471,2.458084,3.750348,5.455647,8.300278,11.137735,14.512199,19.807383,
0.030629,0.215449,0.528888,1.220057,2.442028,3.746989,5.422785,8.299903,11.083526,14.541982,19.998097,
0.029340,0.221600,0.532646,1.210836,2.458591,3.723412,5.430390,8.324210,11.171299,14.368284,19.840981,
0.029873,0.214228,0.534132,1.202251,2.426269,3.715757,5.448726,8.349370,11.131962,14.423331,19.747988,
0.025555,0.212645,0.522655,1.194930,2.453137,3.755945,5.419446,8.366210,11.105403,14.348884,19.750098,
0.031380,0.213997,0.541646,1.210022,2.457778,3.767726,5.406321,8.313000,11.086660,14.564193,19.846674,
0.027435,0.221388,0.539666,1.212139,2.460547,3.766694,5.389292,8.398022,11.201371,14.350389,20.073342,
0.025635,0.217597,0.548748,1.200233,2.432876,3.768833,5.453964,8.413706,11.066489,14.549831,19.849794,
0.029541,0.212406,0.560082,1.201988,2.436006,3.753380,5.405005,8.371779,11.094459,14.621763,19.989460,
